sitename :,bullshoals
years: ,2013,2018
lat: ,36.562833,lon: ,-93.06663

date,tmin,tmax,vpd,sm,srad,dl,swe,prcp,MAP_worldclim,MAT_worldclim,GLDAS_soilfraction_clay,GLDAS_soilfraction_sand,GLDAS_soilfraction_silt,GLDAS_porosity,GLDAS_soiltex,gcc,rcc,gcc_lowess,rcc_lowess,gcc_norm,rcc_norm,gcc_lowess_norm,rcc_lowess_norm
2013-02-17,-3.33,16.29,488.437740767632,1.5854555555555554,393.29,10.72520277777778,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-18,1.55,13.99,372.2955941461756,1.4913777777777777,241.61,10.76118611111111,0.0,4.03,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-19,-3.91,8.1,252.7457388927912,1.5316333333333332,324.89,10.797430555555556,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-20,-4.56,3.46,151.29759809108202,1.433077777777778,182.86,10.833925,0.0,3.2,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-21,-3.13,0.37,67.18785822693349,1.4411888888888889,88.89,10.870658333333337,0.0,11.67,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-22,-3.79,4.45,163.9580813750565,1.7280777777777778,263.16,10.907619444444444,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-23,-7.26,8.36,281.38558153194526,1.613,394.36,10.944802777777776,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-24,-5.22,11.34,346.4805279558944,1.497922222222222,401.81,10.982191666666669,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-25,-2.39,10.58,305.95051115409603,1.3828444444444443,270.06,11.019783333333333,0.0,23.6,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-26,-0.84,3.51,98.45919784251043,2.0544333333333333,114.08,11.05756388888889,0.0,2.14,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-27,0.65,3.79,76.32258703250841,1.9844666666666668,116.94,11.09552777777778,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-28,-0.51,2.37,65.00663712660003,1.8407888888888888,112.1,11.133661111111111,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
